set,type,period,name,url
SWSH06,Booster Box,3M,Chilling Reign,https://r.jina.ai/https://www.tcgplayer.com/product/236258/pokemon-swsh06-chilling-reign-chilling-reign-booster-box?page=1&Language=English
SWSH07,Booster Box,3M,Evolving Skies,https://r.jina.ai/https://www.tcgplayer.com/product/242436/pokemon-swsh07-evolving-skies-evolving-skies-booster-box?page=1&Language=English
SWSH07.5,Elite Trainer Box,3M,Celebrations,https://r.jina.ai/https://www.tcgplayer.com/product/242811/pokemon-celebrations-celebrations-elite-trainer-box?page=1&Language=English
SWSH08,Booster Box,3M,Fusion Strike,https://r.jina.ai/https://www.tcgplayer.com/product/247654/pokemon-swsh08-fusion-strike-fusion-strike-booster-box?page=1&Language=English
SWSH09,Booster Box,3M,Brilliant Stars,https://r.jina.ai/https://www.tcgplayer.com/product/256141/pokemon-swsh09-brilliant-stars-brilliant-stars-booster-box?page=1&Language=English
SWSH10,Booster Box,3M,Astral Radiance,https://r.jina.ai/https://www.tcgplayer.com/product/265519/pokemon-swsh10-astral-radiance-astral-radiance-booster-box?page=1&Language=English
SWSH11,Booster Box,3M,Lost Origin,https://r.jina.ai/https://www.tcgplayer.com/product/277324/pokemon-swsh11-lost-origin-lost-origin-booster-box?page=1&Language=English
SWSH12,Booster Box,3M,Silver Tempest,https://r.jina.ai/https://www.tcgplayer.com/product/283389/pokemon-swsh12-silver-tempest-silver-tempest-booster-box?page=1&Language=English
SWSH12.5,Elite Trainer Box,3M,Crown Zenith,https://r.jina.ai/https://www.tcgplayer.com/product/453470/pokemon-crown-zenith-crown-zenith-elite-trainer-box?page=1&Language=English
SV01,Booster Box,3M,Base Set,https://r.jina.ai/https://www.tcgplayer.com/product/476452/pokemon-sv01-scarlet-and-violet-base-set-scarlet-and-violet-booster-box?page=1&Language=English
SV02,Booster Box,3M,Paldea Evolved,https://r.jina.ai/https://www.tcgplayer.com/product/493975/pokemon-sv02-paldea-evolved-paldea-evolved-booster-box?page=1&Language=English
SV03,Booster Box,3M,Obsidian Flames,https://r.jina.ai/https://www.tcgplayer.com/product/501257/pokemon-sv03-obsidian-flames-obsidian-flames-booster-box?page=1&Language=English
SV03.5,Elite Trainer Box,3M,151,https://r.jina.ai/https://www.tcgplayer.com/product/503313/pokemon-sv-scarlet-and-violet-151-151-elite-trainer-box?page=1&Language=English
SV04,Booster Box,3M,Paradox Rift,https://r.jina.ai/https://www.tcgplayer.com/product/512821/pokemon-sv04-paradox-rift-paradox-rift-booster-box?page=1&Language=English
SV04.5,Elite Trainer Box,3M,Paldean Fates,https://r.jina.ai/https://www.tcgplayer.com/product/528040/pokemon-sv-paldean-fates-paldean-fates-elite-trainer-box?page=1&Language=English
SV05,Booster Box,3M,Temporal Forces,https://r.jina.ai/https://www.tcgplayer.com/product/536225/pokemon-sv05-temporal-forces-temporal-forces-booster-box?page=1&Language=English
SV06,Booster Box,3M,Twilight Masquerade,https://r.jina.ai/https://www.tcgplayer.com/product/543846/pokemon-sv06-twilight-masquerade-twilight-masquerade-booster-box?page=1&Language=English
SV06.5,Elite Trainer Box,3M,Shrouded Fable,https://r.jina.ai/https://www.tcgplayer.com/product/552999/pokemon-sv-shrouded-fable-shrouded-fable-elite-trainer-box?page=1&Language=English
SV07,Booster Box,3M,Stellar Crown,https://r.jina.ai/https://www.tcgplayer.com/product/557354/pokemon-sv07-stellar-crown-stellar-crown-booster-box?page=1&Language=English
SV08,Booster Box,3M,Surging Sparks,https://r.jina.ai/https://www.tcgplayer.com/product/565606/pokemon-sv08-surging-sparks-surging-sparks-booster-box?page=1&Language=English
SV08.5,Elite Trainer Box,3M,Prismatic Evolutions,https://r.jina.ai/https://www.tcgplayer.com/product/593355/pokemon-sv-prismatic-evolutions-prismatic-evolutions-elite-trainer-box?page=1&Language=English
